name,condition,conf_clear,conf_adverse,conf_drop_pct,ent_clear,ent_adverse,ent_rise,kl,mean_iou_adv,iou_adv_c0,iou_adv_c1,iou_adv_c2,iou_adv_c3,iou_adv_c4,iou_adv_c5,iou_adv_c6,iou_adv_c7,iou_adv_c8,iou_adv_c9,iou_adv_c10,iou_adv_c11,iou_adv_c12,iou_adv_c13,iou_adv_c14,iou_adv_c15,iou_adv_c16,iou_adv_c17,iou_adv_c18
GP010476_frame_000181,fog,0.9385234117507935,0.923295795917511,0.016225078117790295,0.1432347446680069,0.2056310474872589,0.062396302819252014,2.8797829151153564,0.6113907098770142,0.8684385418891907,0.5049808621406555,0.0,0.9090664982795715,0.0,0.7234051823616028,0.7922871112823486,0.8585951924324036,0.962515115737915,,0.9612631797790527,,,0.7193106412887573,0.03682611882686615,,,,
GP010476_frame_000142,fog,0.9315817356109619,0.9184460043907166,0.014100460085368586,0.17158842086791992,0.22423797845840454,0.05264955759048462,3.0475776195526123,0.48894983530044556,0.8566738367080688,0.3614031672477722,0.6082683205604553,0.6517285704612732,0.0,0.6015267372131348,0.0,0.7447206974029541,0.7171628475189209,0.7694019675254822,0.8760503530502319,,,0.169411763548851,0.0,,,,
GP010476_frame_000031,fog,0.9450212121009827,0.9335867762565613,0.012099660385404054,0.15255175530910492,0.18100756406784058,0.028455808758735657,3.5568156242370605,0.4603864848613739,0.9822269678115845,0.75832200050354,0.7486627101898193,0.0,0.0,0.0833333358168602,0.42184725403785706,0.3362445533275604,0.8772751688957214,0.22369128465652466,0.9250404238700867,0.7410673499107361,,0.808086097240448,0.0,,,,0.0
GP010476_frame_000120,fog,0.9351509213447571,0.9406715035438538,-0.005903413036394053,0.16649754345417023,0.16056451201438904,-0.005933031439781189,3.00323486328125,0.5211008191108704,0.9763234853744507,0.5028334259986877,0.8296898603439331,0.0,0.12234580516815186,0.3702179491519928,0.0,0.0,0.8376830816268921,0.7257917523384094,0.9280008673667908,,,0.9603239297866821,,,,,
GP010476_frame_000051,fog,0.9577040076255798,0.9495027661323547,0.00856344062705125,0.11990448087453842,0.1428602933883667,0.022955812513828278,3.326256036758423,0.5088074803352356,0.9741222262382507,0.7521079778671265,0.636236846446991,0.0,0.0,0.3994195759296417,0.5984198451042175,0.4719877243041992,0.93892502784729,0.0,0.984205961227417,,,0.8590719699859619,0.0,,,,
GP010476_frame_000063,fog,0.9502388834953308,0.940694272518158,0.010044433081521463,0.13341011106967926,0.1697910875082016,0.03638097643852234,3.5071866512298584,0.5311060547828674,0.8697792887687683,0.7639160752296448,0.9230924844741821,0.6750778555870056,0.0,0.33084166049957275,0.08434448391199112,0.695615291595459,0.39972418546676636,,0.9874681234359741,,,0.6434128284454346,0.0,,,,
GP010476_frame_000084,fog,0.9572546482086182,0.9440670013427734,0.013776529320341726,0.11896499246358871,0.14985963702201843,0.030894644558429718,2.647000312805176,0.452053040266037,0.9318472743034363,0.7267765998840332,0.7265740633010864,0.0,0.0,0.17565542459487915,0.05000000074505806,0.0,0.9355956315994263,0.0,0.983051061630249,,,0.8951362371444702,,,,,
GP010476_frame_000199,fog,0.9547358751296997,0.9113712310791016,0.04542056575647317,0.13117125630378723,0.25626590847969055,0.12509465217590332,2.593053102493286,0.3232722878456116,0.930705189704895,0.3786267638206482,0.014173404313623905,0.0012405101442709565,0.019686343148350716,0.14233577251434326,0.25112107396125793,0.5112587213516235,0.8374564051628113,0.7099142670631409,0.9035022854804993,,,0.13620689511299133,0.012856694869697094,,0.0,0.0,
GP010476_frame_000204,fog,0.9642226099967957,0.9588064551353455,0.005617120724120944,0.10057733952999115,0.12043093144893646,0.019853591918945312,1.9300605058670044,0.4414047300815582,0.909195601940155,0.005686045158654451,0.8421410322189331,0.0,,0.08919500559568405,0.443604975938797,0.17524917423725128,0.945733368396759,0.0,0.9585245251655579,,,0.48855602741241455,0.4389711916446686,,,,
GP010476_frame_000026,fog,0.9415422081947327,0.9466037750244141,-0.005375825673952463,0.15890291333198547,0.15106259286403656,-0.007840320467948914,2.25675892829895,0.4025655686855316,0.9855058789253235,0.335892915725708,0.5741301774978638,0.0,0.07874590158462524,0.728899359703064,0.23423422873020172,0.0,0.932051956653595,0.05936000123620033,0.9527133703231812,,,0.7543843388557434,,,,0.0,0.0
